review_id,phrase,category,aspect_term,polarity
0,judging previous posts used good place longer ,RESTAURANT#GENERAL,posts,negative
1,four arrived noon place empty staff acted like ,SERVICE#GENERAL,staff,negative
1,four arrived noon place empty staff acted like imposing rude ,SERVICE#GENERAL,rude,negative
1,empty staff acted like imposing rude ,SERVICE#GENERAL,rude,negative
2,repeated requests sugar threw dishes table ,SERVICE#GENERAL,eat,negative
2,never brought complimentary noodles ignored repeated requests sugar ,SERVICE#GENERAL,eat,negative
2,brought complimentary noodles ignored repeated requests sugar threw dishes table ,SERVICE#GENERAL,eat,negative
2,complimentary noodles ignored repeated requests sugar threw dishes table ,SERVICE#GENERAL,eat,negative
2,never brought complimentary noodles ignored repeated requests ,SERVICE#GENERAL,eat,negative
2,ignored repeated requests sugar threw dishes table ,SERVICE#GENERAL,eat,negative
3,food lousy sweet salty portions tiny ,FOOD#QUALITY,food,negative
3,food lousy sweet salty portions ,FOOD#QUALITY,food,negative
4,food lousy sweet salty portions tiny ,FOOD#STYLE_OPTIONS,food,negative
4,food lousy sweet salty portions ,FOOD#STYLE_OPTIONS,food,negative
6,avoid place ,RESTAURANT#GENERAL,avoid,negative
7,eaten saul many times food always consistently outrageously ,FOOD#QUALITY,man,positive
7,times food always consistently outrageously good ,FOOD#QUALITY,food,positive
7,eaten saul many times food always consistently outrageously good ,FOOD#QUALITY,man,positive
8,saul best restaurant smith street brooklyn ,RESTAURANT#GENERAL,restaurant,positive
9,duck confit always amazing foie ,FOOD#QUALITY,fit,positive
9,duck confit always amazing foie gras ,FOOD#QUALITY,fit,positive
9,amazing foie gras terrine figs world ,FOOD#QUALITY,world,positive
11,wine list interesting many good values ,DRINKS#STYLE_OPTIONS,values,positive
11,wine list interesting many good ,DRINKS#STYLE_OPTIONS,man,positive
12,wine list interesting many good values ,DRINKS#PRICES,values,positive
12,wine list interesting many good ,DRINKS#PRICES,man,positive
13,price eat well manhattan ,RESTAURANT#PRICES,man,positive
14,price eat well manhattan ,FOOD#QUALITY,man,positive
15,disappointed restaurant ,RESTAURANT#GENERAL,point,negative
16,cart attendant lotus leaf wrapped rice replied back rice walked ,SERVICE#GENERAL,art,negative
16,leaf wrapped rice replied back rice walked away ,SERVICE#GENERAL,way,negative
17,ask three times finally came back dish ,SERVICE#GENERAL,dish,negative
17,three times finally came back dish ive requested ,SERVICE#GENERAL,dish,negative
18,food okay nothing great ,FOOD#QUALITY,eat,neutral
19,chow fun dry pork shu mai usually greasy ,FOOD#QUALITY,chow,negative
19,shu mai usually greasy share table loud rude family ,FOOD#QUALITY,family,negative
19,chow fun dry pork shu mai ,FOOD#QUALITY,chow,negative
19,usually greasy share table loud rude family ,FOOD#QUALITY,family,negative
19,chow fun dry pork shu ,FOOD#QUALITY,chow,negative
19,pork shu mai usually greasy share table loud rude family ,FOOD#QUALITY,family,negative
19,greasy share table loud rude family ,FOOD#QUALITY,family,negative
21,chow fun dry pork shu mai usually greasy ,AMBIENCE#GENERAL,chow,negative
21,shu mai usually greasy share table loud rude family ,AMBIENCE#GENERAL,family,negative
21,chow fun dry pork shu mai ,AMBIENCE#GENERAL,chow,negative
21,usually greasy share table loud rude family ,AMBIENCE#GENERAL,family,negative
21,chow fun dry pork shu ,AMBIENCE#GENERAL,chow,negative
21,pork shu mai usually greasy share table loud rude family ,AMBIENCE#GENERAL,family,negative
21,greasy share table loud rude family ,AMBIENCE#GENERAL,family,negative
22,never back place ,RESTAURANT#GENERAL,place,negative
23,went day oyster binge fish bringing closing glad place ,RESTAURANT#GENERAL,ring,positive
23,binge fish bringing closing glad place trip ended great ,RESTAURANT#GENERAL,trip,positive
23,went day oyster binge fish bringing ,RESTAURANT#GENERAL,ring,positive
23,fish bringing closing glad place trip ended great ,RESTAURANT#GENERAL,trip,positive
24,service devine oysters sensual come price beat ,SERVICE#GENERAL,eat,positive
24,service devine oysters sensual come ,SERVICE#GENERAL,service,positive
24,devine oysters sensual come price beat ,SERVICE#GENERAL,eat,positive
25,service devine oysters sensual come price beat ,FOOD#QUALITY,eat,positive
25,service devine oysters sensual come ,FOOD#QUALITY,service,positive
25,devine oysters sensual come price beat ,FOOD#QUALITY,eat,positive
26,service devine oysters sensual come price beat ,RESTAURANT#PRICES,eat,positive
26,service devine oysters sensual come ,RESTAURANT#PRICES,service,positive
26,devine oysters sensual come price beat ,RESTAURANT#PRICES,eat,positive
28,new york make point visit restaurant saul smith street ,RESTAURANT#GENERAL,visit,positive
28,every time new york make point visit restaurant saul smith ,RESTAURANT#GENERAL,visit,positive
28,every time new york make point ,RESTAURANT#GENERAL,time,positive
28,time new york make point visit restaurant saul smith street ,RESTAURANT#GENERAL,visit,positive
29,always cooked perfection service excellent decor cool understated ,FOOD#QUALITY,service,positive
29,everything always cooked perfection service excellent decor cool ,FOOD#QUALITY,service,positive
29,everything always cooked perfection service excellent decor cool understated ,FOOD#QUALITY,service,positive
30,always cooked perfection service excellent decor cool understated ,SERVICE#GENERAL,service,positive
30,everything always cooked perfection service excellent decor cool ,SERVICE#GENERAL,service,positive
30,everything always cooked perfection service excellent decor cool understated ,SERVICE#GENERAL,service,positive
31,always cooked perfection service excellent decor cool understated ,AMBIENCE#GENERAL,service,positive
31,everything always cooked perfection service excellent decor cool ,AMBIENCE#GENERAL,service,positive
31,everything always cooked perfection service excellent decor cool understated ,AMBIENCE#GENERAL,service,positive
32,duck breast special last visit ,FOOD#QUALITY,visit,positive
32,duck breast special last visit incredible ,FOOD#QUALITY,visit,positive
33,wait wait next visit ,RESTAURANT#GENERAL,visit,positive
34,hate say doubt ever back ,RESTAURANT#GENERAL,doubt,negative
35,food average thai fusion stuff bit sweet every thing ,FOOD#QUALITY,average,negative
35,fusion stuff bit sweet every thing serve sweet ,FOOD#QUALITY,bit,negative
35,food average thai fusion stuff ,FOOD#QUALITY,average,negative
35,food average thai fusion stuff bit sweet every thing serve ,FOOD#QUALITY,average,negative
35,food average thai fusion stuff bit ,FOOD#QUALITY,average,negative
38,moderately enjoyed grilled chicken special edamame puree ,FOOD#QUALITY,enjoy,positive
38,thing moderately enjoyed grilled chicken special edamame puree ,FOOD#QUALITY,enjoy,positive
38,thing moderately enjoyed grilled chicken ,FOOD#QUALITY,enjoy,positive
38,enjoyed grilled chicken special edamame puree ,FOOD#QUALITY,enjoy,positive
39,never edamame pureed thought innovative tasty could used bit salt ,FOOD#QUALITY,pureed,positive
39,never edamame pureed thought innovative tasty ,FOOD#QUALITY,pureed,positive
39,innovative tasty could used bit salt ,FOOD#QUALITY,bit,positive
39,never edamame pureed thought innovative tasty could used ,FOOD#QUALITY,pureed,positive
39,thought innovative tasty could used bit salt ,FOOD#QUALITY,bit,positive
39,never edamame pureed thought innovative tasty could ,FOOD#QUALITY,pureed,positive
40,never edamame pureed thought innovative tasty could used bit salt ,FOOD#STYLE_OPTIONS,pureed,positive
40,never edamame pureed thought innovative tasty ,FOOD#STYLE_OPTIONS,pureed,positive
40,innovative tasty could used bit salt ,FOOD#STYLE_OPTIONS,bit,positive
40,never edamame pureed thought innovative tasty could used ,FOOD#STYLE_OPTIONS,pureed,positive
40,thought innovative tasty could used bit salt ,FOOD#STYLE_OPTIONS,bit,positive
40,never edamame pureed thought innovative tasty could ,FOOD#STYLE_OPTIONS,pureed,positive
41,decor night tho really need clean ,AMBIENCE#GENERAL,decor,negative
41,tho really need clean vent ceiling quite appetizing kills effort ,AMBIENCE#GENERAL,tho,negative
41,quite appetizing kills effort make place look sleek modern ,AMBIENCE#GENERAL,effort,negative
41,vent ceiling quite appetizing kills effort make place look sleek ,AMBIENCE#GENERAL,effort,negative
41,decor night tho really need clean vent ,AMBIENCE#GENERAL,decor,negative
41,decor night tho really need ,AMBIENCE#GENERAL,decor,negative
44,purple haze listed made upon request ,DRINKS#STYLE_OPTIONS,list,positive
44,sake list extensive looking purple haze listed made upon request ,DRINKS#STYLE_OPTIONS,list,positive
44,sake list extensive looking purple haze ,DRINKS#STYLE_OPTIONS,list,positive
45,purple haze listed made upon request ,SERVICE#GENERAL,list,positive
45,sake list extensive looking purple haze listed made upon request ,SERVICE#GENERAL,list,positive
45,sake list extensive looking purple haze ,SERVICE#GENERAL,list,positive
46,spicy tuna roll unusually good rock shrimp ,FOOD#QUALITY,spicy,positive
46,tuna roll unusually good rock shrimp tempura awesome great appetizer ,FOOD#QUALITY,appetizer,positive
46,spicy tuna roll unusually good rock shrimp tempura awesome ,FOOD#QUALITY,spicy,positive
46,spicy tuna roll unusually good rock shrimp tempura awesome great ,FOOD#QUALITY,spicy,positive
46,shrimp tempura awesome great appetizer share ,FOOD#QUALITY,appetizer,positive
46,spicy tuna roll unusually good ,FOOD#QUALITY,spicy,positive
46,rock shrimp tempura awesome great appetizer share ,FOOD#QUALITY,appetizer,positive
48,went around friday died bit service great ,SERVICE#GENERAL,day,positive
49,love pink pony ,RESTAURANT#GENERAL,love,positive
50,perfect spot ,RESTAURANT#GENERAL,spot,positive
51,food awesome ,FOOD#QUALITY,food,positive
52,service friendly attentive ,SERVICE#GENERAL,friend,positive
53,ambiance relaxed stylish ,AMBIENCE#GENERAL,ambiance,positive
54,believe home away home literate heart ,RESTAURANT#GENERAL,art,positive
54,judge place prima facie try believe ,RESTAURANT#GENERAL,try,positive
54,judge place prima facie try believe home away home ,RESTAURANT#GENERAL,way,positive
55,food decent ,FOOD#QUALITY,food,neutral
56,however service leaves bad taste mouth ,SERVICE#GENERAL,mouth,negative
57,intimidate make feel bad asking trivialities like water check ,SERVICE#GENERAL,water,negative
57,includes letting waiter intimidate make feel bad asking trivialities like ,SERVICE#GENERAL,ties,negative
57,happen policy goes along little bit ,SERVICE#GENERAL,bit,negative
57,bit self respect includes letting waiter intimidate make feel bad ,SERVICE#GENERAL,respect,negative
57,happen policy goes along little bit self respect includes letting ,SERVICE#GENERAL,respect,negative
57,goes along little bit self respect includes letting waiter intimidate ,SERVICE#GENERAL,respect,negative
57,bad asking trivialities like water check ,SERVICE#GENERAL,water,negative
57,feel bad asking trivialities like water check ,SERVICE#GENERAL,water,negative
58,bored agenda eat enjoy company friends seeking pleasant experience ,SERVICE#GENERAL,experience,negative
58,looking bored agenda eat enjoy company friends seeking pleasant experience ,SERVICE#GENERAL,experience,negative
58,know busy showing vintage tee shirt looking bored agenda eat ,SERVICE#GENERAL,eat,negative
58,tee shirt looking bored agenda eat enjoy company friends seeking ,SERVICE#GENERAL,enjoy,negative
58,shirt looking bored agenda eat enjoy company friends seeking pleasant ,SERVICE#GENERAL,pleasant,negative
58,eat enjoy company friends seeking pleasant experience ,SERVICE#GENERAL,experience,negative
58,enjoy company friends seeking pleasant experience ,SERVICE#GENERAL,experience,negative
59,well find trust told everyone think experience ,RESTAURANT#GENERAL,experience,negative
59,find trust told everyone think experience ,RESTAURANT#GENERAL,experience,negative
60,last time walked looked pretty empty ,RESTAURANT#MISCELLANEOUS,time,negative
61,place got best japanese restaurant new york area ,RESTAURANT#GENERAL,place,positive
61,best japanese restaurant new york area ,RESTAURANT#GENERAL,area,positive
61,place got best japanese restaurant ,RESTAURANT#GENERAL,place,positive
62,great experience ,RESTAURANT#GENERAL,experience,positive
63,food great ,FOOD#QUALITY,eat,positive
64,service top notch ,SERVICE#GENERAL,notch,positive
66,tend judge sushi restaurant sea urchin heavenly sushi ,FOOD#QUALITY,sea,positive
66,tend judge sushi restaurant sea urchin heavenly ,FOOD#QUALITY,sea,positive
66,sushi restaurant sea urchin heavenly sushi rose ,FOOD#QUALITY,sea,positive
66,tend judge sushi restaurant sea urchin heavenly sushi rose ,FOOD#QUALITY,sea,positive
67,little mouth perfect consistency fishy creamy slightly buttery ,FOOD#QUALITY,mouth,positive
67,perfect consistency fishy creamy slightly buttery ,FOOD#QUALITY,consistency,positive
67,melted little mouth perfect consistency fishy creamy slightly buttery ,FOOD#QUALITY,mouth,positive
67,melted little mouth perfect consistency fishy creamy ,FOOD#QUALITY,mouth,positive
68,sushi seemed pretty fresh adequately ,FOOD#QUALITY,sushi,positive
69,sushi seemed pretty fresh adequately ,FOOD#STYLE_OPTIONS,sushi,positive
70,rice fish ration also good try ,FOOD#STYLE_OPTIONS,good,positive
70,rice fish ration also good try overpack ,FOOD#STYLE_OPTIONS,good,positive
70,rice fish ration also good ,FOOD#STYLE_OPTIONS,good,positive
70,ration also good try overpack rice ,FOOD#STYLE_OPTIONS,good,positive
70,rice fish ration also good try overpack rice ,FOOD#STYLE_OPTIONS,good,positive
71,took advanatage half price sushi deal saturday well ,FOOD#QUALITY,day,positive
71,took advanatage half price sushi deal saturday well worth ,FOOD#QUALITY,day,positive
73,evening place attracted well dressed crowd ,RESTAURANT#MISCELLANEOUS,crowd,positive
74,food well prepared service impecable ,FOOD#QUALITY,food,positive
75,food well prepared service impecable ,SERVICE#GENERAL,food,positive
77,quite simply like stepping manhattan tranquility ,AMBIENCE#GENERAL,man,positive
78,prix fixe menu worth every penny get ,FOOD#QUALITY,ny,positive
78,every penny get enough quantity quality ,FOOD#QUALITY,quantity,positive
78,worth every penny get enough quantity quality ,FOOD#QUALITY,quantity,positive
79,prix fixe menu worth every penny get ,FOOD#STYLE_OPTIONS,ny,positive
79,every penny get enough quantity quality ,FOOD#STYLE_OPTIONS,quantity,positive
79,worth every penny get enough quantity quality ,FOOD#STYLE_OPTIONS,quantity,positive
80,prix fixe menu worth every penny get ,FOOD#PRICES,ny,positive
80,every penny get enough quantity quality ,FOOD#PRICES,quantity,positive
80,worth every penny get enough quantity quality ,FOOD#PRICES,quantity,positive
81,going back heartily recommend ,RESTAURANT#GENERAL,recommend,positive
82,terrific value ,FOOD#QUALITY,value,positive
83,terrific value ,FOOD#PRICES,value,positive
84,much tasty food fresh continually refilled ,FOOD#STYLE_OPTIONS,food,positive
85,much tasty food fresh continually refilled ,FOOD#QUALITY,food,positive
86,much tasty food fresh continually refilled ,FOOD#PRICES,food,positive
87,vegetarian almost dishes great ,FOOD#QUALITY,eat,positive
88,hungry enjoy ,RESTAURANT#GENERAL,enjoy,positive
89,food rather good like wait ,FOOD#QUALITY,food,positive
90,food rather good like wait ,SERVICE#GENERAL,food,negative
96,service varys day day sometimes ,SERVICE#GENERAL,day,negative
96,service varys day day sometimes nice sometimes ,SERVICE#GENERAL,day,negative
98,also specify like food spicy rather bland ,FOOD#QUALITY,spicy,negative
99,ambience pretty nice conversation casual ,AMBIENCE#GENERAL,conversation,positive
99,ambience pretty nice conversation casual lunch would probably ,AMBIENCE#GENERAL,lunch,positive
99,ambience pretty nice conversation casual lunch would probably best ,AMBIENCE#GENERAL,lunch,positive
100,ambience pretty nice conversation casual ,RESTAURANT#MISCELLANEOUS,conversation,positive
100,ambience pretty nice conversation casual lunch would probably ,RESTAURANT#MISCELLANEOUS,lunch,positive
100,ambience pretty nice conversation casual lunch would probably best ,RESTAURANT#MISCELLANEOUS,lunch,positive
101,along river weehawken idea top view chart house offer ,LOCATION#GENERAL,top,positive
101,idea top view chart house offer ,LOCATION#GENERAL,top,positive
101,ever along river weehawken idea top view chart house ,LOCATION#GENERAL,top,positive
101,ever along river weehawken idea top view chart house offer ,LOCATION#GENERAL,top,positive
102,great service great food reasonable price beginning great evening ,SERVICE#GENERAL,eat,positive
102,add great service great food reasonable price ,SERVICE#GENERAL,eat,positive
102,add great service great food reasonable price beginning great ,SERVICE#GENERAL,eat,positive
103,great service great food reasonable price beginning great evening ,FOOD#QUALITY,eat,positive
103,add great service great food reasonable price ,FOOD#QUALITY,eat,positive
103,add great service great food reasonable price beginning great ,FOOD#QUALITY,eat,positive
104,great service great food reasonable price beginning great evening ,FOOD#PRICES,eat,positive
104,add great service great food reasonable price ,FOOD#PRICES,eat,positive
104,add great service great food reasonable price beginning great ,FOOD#PRICES,eat,positive
105,lava cake dessert incredible recommend ,FOOD#QUALITY,recommend,positive
107,tiny restaurant cozy gets certain parisian ,AMBIENCE#GENERAL,ny,positive
107,restaurant cozy gets certain parisian flair ,AMBIENCE#GENERAL,flair,positive
108,yet overly impressive desserts brilliant way ,FOOD#QUALITY,impressive,positive
108,food average average french onion soup filling yet overly ,FOOD#QUALITY,average,positive
108,food average average french onion soup filling yet overly impressive ,FOOD#QUALITY,impressive,positive
108,food average average french onion ,FOOD#QUALITY,average,positive
108,soup filling yet overly impressive desserts brilliant way ,FOOD#QUALITY,impressive,positive
108,food average average french onion soup ,FOOD#QUALITY,average,positive
108,food average average french onion soup filling ,FOOD#QUALITY,average,positive
108,onion soup filling yet overly impressive desserts brilliant way ,FOOD#QUALITY,impressive,positive
110,yet overly impressive desserts brilliant way ,FOOD#STYLE_OPTIONS,impressive,positive
110,food average average french onion soup filling yet overly ,FOOD#STYLE_OPTIONS,average,positive
110,food average average french onion soup filling yet overly impressive ,FOOD#STYLE_OPTIONS,impressive,positive
110,food average average french onion ,FOOD#STYLE_OPTIONS,average,positive
110,soup filling yet overly impressive desserts brilliant way ,FOOD#STYLE_OPTIONS,impressive,positive
110,food average average french onion soup ,FOOD#STYLE_OPTIONS,average,positive
110,food average average french onion soup filling ,FOOD#STYLE_OPTIONS,average,positive
