,review_id,category
0,0,RESTAURANT#GENERAL
1,1,"SERVICE#GENERAL,SERVICE#GENERAL,SERVICE#GENERAL"
2,2,"SERVICE#GENERAL,SERVICE#GENERAL,SERVICE#GENERAL,SERVICE#GENERAL,SERVICE#GENERAL,SERVICE#GENERAL"
3,3,"FOOD#QUALITY,FOOD#QUALITY"
4,4,"FOOD#STYLE_OPTIONS,FOOD#STYLE_OPTIONS"
5,6,RESTAURANT#GENERAL
6,7,"FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY"
7,8,RESTAURANT#GENERAL
8,9,"FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY"
9,11,"DRINKS#STYLE_OPTIONS,DRINKS#STYLE_OPTIONS"
10,12,"DRINKS#PRICES,DRINKS#PRICES"
11,13,RESTAURANT#PRICES
12,14,FOOD#QUALITY
13,15,RESTAURANT#GENERAL
14,16,"SERVICE#GENERAL,SERVICE#GENERAL"
15,17,"SERVICE#GENERAL,SERVICE#GENERAL"
16,18,FOOD#QUALITY
17,19,"FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY"
18,21,"AMBIENCE#GENERAL,AMBIENCE#GENERAL,AMBIENCE#GENERAL,AMBIENCE#GENERAL,AMBIENCE#GENERAL,AMBIENCE#GENERAL,AMBIENCE#GENERAL"
19,22,RESTAURANT#GENERAL
20,23,"RESTAURANT#GENERAL,RESTAURANT#GENERAL,RESTAURANT#GENERAL,RESTAURANT#GENERAL"
21,24,"SERVICE#GENERAL,SERVICE#GENERAL,SERVICE#GENERAL"
22,25,"FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY"
23,26,"RESTAURANT#PRICES,RESTAURANT#PRICES,RESTAURANT#PRICES"
24,28,"RESTAURANT#GENERAL,RESTAURANT#GENERAL,RESTAURANT#GENERAL,RESTAURANT#GENERAL"
25,29,"FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY"
26,30,"SERVICE#GENERAL,SERVICE#GENERAL,SERVICE#GENERAL"
27,31,"AMBIENCE#GENERAL,AMBIENCE#GENERAL,AMBIENCE#GENERAL"
28,32,"FOOD#QUALITY,FOOD#QUALITY"
29,33,RESTAURANT#GENERAL
30,34,RESTAURANT#GENERAL
31,35,"FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY"
32,38,"FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY"
33,39,"FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY"
34,40,"FOOD#STYLE_OPTIONS,FOOD#STYLE_OPTIONS,FOOD#STYLE_OPTIONS,FOOD#STYLE_OPTIONS,FOOD#STYLE_OPTIONS,FOOD#STYLE_OPTIONS"
35,41,"AMBIENCE#GENERAL,AMBIENCE#GENERAL,AMBIENCE#GENERAL,AMBIENCE#GENERAL,AMBIENCE#GENERAL,AMBIENCE#GENERAL"
36,44,"DRINKS#STYLE_OPTIONS,DRINKS#STYLE_OPTIONS,DRINKS#STYLE_OPTIONS"
37,45,"SERVICE#GENERAL,SERVICE#GENERAL,SERVICE#GENERAL"
38,46,"FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY"
39,48,SERVICE#GENERAL
40,49,RESTAURANT#GENERAL
41,50,RESTAURANT#GENERAL
42,51,FOOD#QUALITY
43,52,SERVICE#GENERAL
44,53,AMBIENCE#GENERAL
45,54,"RESTAURANT#GENERAL,RESTAURANT#GENERAL,RESTAURANT#GENERAL"
46,55,FOOD#QUALITY
47,56,SERVICE#GENERAL
48,57,"SERVICE#GENERAL,SERVICE#GENERAL,SERVICE#GENERAL,SERVICE#GENERAL,SERVICE#GENERAL,SERVICE#GENERAL,SERVICE#GENERAL,SERVICE#GENERAL"
49,58,"SERVICE#GENERAL,SERVICE#GENERAL,SERVICE#GENERAL,SERVICE#GENERAL,SERVICE#GENERAL,SERVICE#GENERAL,SERVICE#GENERAL"
50,59,"RESTAURANT#GENERAL,RESTAURANT#GENERAL"
51,60,RESTAURANT#MISCELLANEOUS
52,61,"RESTAURANT#GENERAL,RESTAURANT#GENERAL,RESTAURANT#GENERAL"
53,62,RESTAURANT#GENERAL
54,63,FOOD#QUALITY
55,64,SERVICE#GENERAL
56,66,"FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY"
57,67,"FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY"
58,68,FOOD#QUALITY
59,69,FOOD#STYLE_OPTIONS
60,70,"FOOD#STYLE_OPTIONS,FOOD#STYLE_OPTIONS,FOOD#STYLE_OPTIONS,FOOD#STYLE_OPTIONS,FOOD#STYLE_OPTIONS"
61,71,"FOOD#QUALITY,FOOD#QUALITY"
62,73,RESTAURANT#MISCELLANEOUS
63,74,FOOD#QUALITY
64,75,SERVICE#GENERAL
65,77,AMBIENCE#GENERAL
66,78,"FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY"
67,79,"FOOD#STYLE_OPTIONS,FOOD#STYLE_OPTIONS,FOOD#STYLE_OPTIONS"
68,80,"FOOD#PRICES,FOOD#PRICES,FOOD#PRICES"
69,81,RESTAURANT#GENERAL
70,82,FOOD#QUALITY
71,83,FOOD#PRICES
72,84,FOOD#STYLE_OPTIONS
73,85,FOOD#QUALITY
74,86,FOOD#PRICES
75,87,FOOD#QUALITY
76,88,RESTAURANT#GENERAL
77,89,FOOD#QUALITY
78,90,SERVICE#GENERAL
79,96,"SERVICE#GENERAL,SERVICE#GENERAL"
80,98,FOOD#QUALITY
81,99,"AMBIENCE#GENERAL,AMBIENCE#GENERAL,AMBIENCE#GENERAL"
82,100,"RESTAURANT#MISCELLANEOUS,RESTAURANT#MISCELLANEOUS,RESTAURANT#MISCELLANEOUS"
83,101,"LOCATION#GENERAL,LOCATION#GENERAL,LOCATION#GENERAL,LOCATION#GENERAL"
